,Header,Summary,Detail,Link,Category,CreationDate
0,Plan to involve private sector in Leh Nullah expressway project dropped,"Centre to bear 60pc, Punjab 40pc of total cost, official says.","RAWALPINDI: In a new development, the Punjab government took a U-turn and decided to construct the Leh Nullah and Flood Channel through government funds instead of involving the private sector.
A senior official of the Rawalpindi Development Authority (RDA) told Dawn that earlier the construction of the channel on public-private partnership (PPP) mode had been approved under which the government would procure land while a private company would construct and operate the expressway.
However, he said, a new plan had been prepared and the project would be launched in the next fiscal year, adding that for an environment impact assessment (EIA), a public hearing would be held on May 11.
“Under the new plan, the Punjab government would allocate Rs65 billion for the construction of the Leh Nullah and dual carriageway while Rs25 billion would be spent on land acquisition. The expressway will stretch from New Katarian on I.J. Principal Road to Soan Bridge near Lahore High Court (LHC) Rawalpindi bench,” he said.

Centre to bear 60pc, Punjab 40pc of total cost, official says

The official said the total width of the concrete nullah and dual carriageway at New Katarian would be 55 metres and it would gradually increase to 80 metres at the ending point near Soan Bridge.
“The federal government will provide 60pc of the fund while the Punjab government will bear 40pc of the total cost,” he added.
The official said earlier PC-I for land acquisition and structural compensation amounting to Rs25 billion had been approved by Ecnec in its meeting held on December 22, 2021, and administrative approval was given on January 19, 2022.
However, he said Ecnec approved the project with conditions that the EIA study would be conducted before the project execution.
He said EIA would be carried out and its conditions fulfilled prior to the launch of the project, adding that the implementation period of the project was six months.
In an earlier plan, commercial buildings and zones were to be constructed under the urban regeneration programme. 
On the directives of the government, Nespak was preparing the plan of urban regeneration along the nullah.
“The basic aim of urban regeneration was to reduce the cost of land acquisition which the government considered was still high,” the official said, adding that the government had estimated that Rs35 billion would be required for the Leh expressway project.
But the plan was shelved when the political crisis deepened in the country and the MNA from Rawalpindi 
Sheikh Rashid Ahmed, who is also interior minister, wanted to start the project before the dismissal of the PTI government.
About the PPP mode, the senior official said there were fewer investors interested in the project because urban regeneration plan along Leh Nullah was time consuming and difficult to collect land from the private land owners.
When contacted, RDA Chief Engineer Dr Habibullah Randhawa confirmed that the new plan was being made for Leh expressway project.
He said the government wanted to start the project as soon as possible and had decided to construct concrete structure and roads along the nullah.
To a question, he said the Public-Private Partnership Authority would soon take up the matter to cancel the project launched under the PPP mode. He said public hearing for EIA would be held on May 11 and till then a detail plan would be completed.
Published in Dawn, April 10th, 2022
",https://www.dawn.com/news/1684241/plan-to-involve-private-sector-in-leh-nullah-expressway-project-dropped,islamabad,2022-04-10
1,"Over 2,700 security personnel deployed in Red Zone","ISLAMABAD: Over 2,700 police and paramilitary troops were deployed in the Red Zone during the first session of the...","ISLAMABAD: Over 2,700 police and paramilitary troops were deployed in the Red Zone during the first session of the National Assembly after its restoration on Saturday.
Besides, all the entry points to the zone, except for the Margalla Road, will remain sealed till the conclusion of the ongoing session.
Police officers told Dawn on condition of anonymity that the ‘extra precautionary measures’ had been taken keeping in view reports and alerts that activists and workers of different political parties would reach Red Zone from different parts of the country and might create law and order situation.
Under such a situation, there was a need to secure the sensitive installations in the Red Zone, including Parliament House, Parliament Lodges, MNA Hostel, Supreme Court building, PM Secretariat, Presidency, PM House, Sindh House, Diplomatic Enclave, Judges Enclave and two hotels, the officers said.
The motive behind the deployment was to counter any terrorism, maintain law and order, ensure security of the MNAs and conduct no-confidence motion peacefully.
A contingent, comprising 641 policemen, 75 Frontier Constabulary and 465 Rangers personnel were deployed in and around Parliament House, adding a contingent comprising 103 policemen, 50 FC and 25 Rangers personnel was also deployed at Sindh House.
Likewise, a contingent of 338 personnel, including 52 FC and 127 Rangers personnel, was deployed at Parliament Lodges. 
Moreover, 28 police officials along with 20 FC and 20 Rangers personnel were deployed at the MNA Hostel.
A dozen entry points to the Constitution Avenue were were sealed by placing 130 containers.
Deployment of 141 personnel of police, FC and Rangers was made at Serena picket, the offices said, adding 101 policemen and 10 Rangers were deployed at Marriott Chowk followed by 289 policemen and 60 Rangers at Express Chowk. 
A contingent of 42 policemen and 10 Rangers were deployed at Bari Imam T-Cross and Nadra picket.
Likewise, four policemen and five Rangers were deployed at Third Road near the China embassy, Federal Public Service Commission, Globe Chowk, Election Commissioner of Pakistan, Kohsar Complex and High Court building north side.
A contingent of 166 policemen, 30 FC and 60 Rangers personnel were also deployed at Margalla Road.
Directives were also issued that all officials, especially gunmen of officers, will not carry arms. 
However, senior officers will carry their official weapons.
Published in Dawn, April 10th, 2022
",https://www.dawn.com/news/1684240/over-2700-security-personnel-deployed-in-red-zone,islamabad,2022-04-10
2,Expats to set up modern charity hospital,Over two million people to benefit from this facility...,"ISLAMABAD: An organisation of overseas Pakistanis has announced to establish a modern charity hospital in Pakistan.
The project will be completed by the end of 2025. More than two million people will benefit from this hospital.
According to latest Economic Survey of Pakistan, a comparative position of the regional countries in health indicators development showed abysmal picture as infant mortality rate (IMR), per 1,000 live births, in Pakistan was 55.7, in Afghanistan 46, in India 28, Bangladesh 25, China seven and in Sri Lanka six. Although in Pakistan life expectancy increased from 66.9 years in 2017 to 67.3 years in 2019 but was still behind other countries.
The announcement regarding establishment of charity hospital has been made by Pakistan Public Aid Trust (PPAT), a non-governmental organisation run by overseas Pakistanis, to build a state of the art modern charity hospital in collaboration with Akhuwat Foundation.

Over two million people to benefit from this facility

In this regard a formal MoU signing ceremony was held between PPAT and Akhuwat Foundation. Chairman Akhuwat Foundation Dr Amjad Saqib, Chairman PPAT Nasir Abbas Tarar, Member board of directors of PPAT Furqan Aslam Mangat and other key officials and notable citizens were also present on the occasion.
Akhuwat Foundation Chairman Dr Amjad Saqib said that overseas Pakistanis were doing a commendable job in providing basic health facilities to underprivileged. 
Society can only grow when people get equal opportunities and access to basic facilities like health and education, he added.
PPAT Chairman Nasir Abbas said that a 200-bed capacity hospital, with the cost of around Rs100 million will be constructed in Mandi Bahauddin. The project will be completed by the end of 2025. More than 2 million people will benefit from this hospital. The PPAT chairman appreciated the efforts of youth working for the cause of social betterment in different areas of the district.
PPAT Director Furqan Aslam Mangat said that it would be the first most modern state of the art hospital in the healthcare history of the district where all the special and general medical facilities would be provided free of cost. 
He said extending quality medical services to the people of our district was one of the top priorities of the PPAT.
“We are pleased that the reputed charity organization Akhuwat that is having a great track record is helping us in terms of hospital establishment through administrative and consultative support,” he said.
According to the Economic Survey of Pakistan the national health infrastructure comprises 1,282 hospitals, 5,472 Basic Health Units, 670 Rural Health Centres, 5,743 dispensaries, 752 maternity and child health centres and 412 TB centres while the total availability of beds in these health facilities are estimated at 133,707. There are 245,987 registered doctors, 27,360 registered dentists and 116,659 registered nurses in these facilities together.
Health expenditures have increased gradually since 2011-12 - by 14.3pc - from Rs421.8 billion in 2018-19 to Rs482.3 billion in 2019-20. 
Public sector expenditure on health was estimated at 1.2pc of the GDP in 2019-20 compared to 1.1pc in 2018-19.
Published in Dawn, April 10th, 2022
",https://www.dawn.com/news/1684239/expats-to-set-up-modern-charity-hospital,islamabad,2022-04-10
3,Suspects held in murder case: police,"ISLAMABAD: The Bhara Kahu police claimed to have arrested two suspects in a blind murder case. On March 13, the...","ISLAMABAD: The Bhara Kahu police claimed to have arrested two suspects in a blind murder case.
On March 13, the police had recovered the body of the victim in the forest area of Shahpur, said a statement on Saturday. 
SP City Aamir Khan constituted a team under the supervision of DSP Hakim Khan and consisting of SHO Sub-Inspector Shoukat Abbasi and SI Khurram Aslam and others. 
Using latest technology and human resources, the team traced and arrested the suspects identified as Younaib and Husnain, residents of Murree, besides recovering the murder weapon and the snatched vehicle from their possession.
The suspects in the preliminary investigation revealed that they had snatched the vehicle from Chungi No 26 after killing its driver, Saeed Abbasi, on resistance and dumped the body in Shahpur forest. 
Meanwhile, the police also arrested a proclaimed offender, Qaiser Anjum, resident of Madni Mohallah of Bhara Kahu, who was wanted for allegedly murdering a citizen during robbery about four years ago. 
Published in Dawn, April 10th, 2022
",https://www.dawn.com/news/1684238/suspects-held-in-murder-case-police,islamabad,2022-04-10
4,"Torture victim seeks justice from Supreme Court, IGP","TAXILA: A woman, who was allegedly tortured and kept under illegal confinement, has urged the chief justice of...","TAXILA: A woman, who was allegedly tortured and kept under illegal confinement, has urged the chief justice of Pakistan and inspector general of police (IGP) to provide her shelter and justice as those who were involved in committing the crime continued to roam freely.
The victim, Shahida Bibi, resident of Bhalaser village, while narrating her ordeal to journalists on Friday, said on Feb 24 she was going to fetch water when three persons of the same locality started filming her with their mobile phones.
When she asked them to stop, the victim said, they subjected her to severe torture during which she lost one of her teeth. She said when she called Rescue 15, a police party took her to the police station instead of Tehsil Headquarters (THQ) Hospital for medical examination and registered no case against the persons involved.
The police registered a case without medical examination as they wanted to create a way for the persons involved to seek relief from the local court through pre-arrest bail, she claimed, adding that the three later broke into her house and subjected her to more torture because she refused to withdraw the case against them.
She said they tore her clothes, shaved her head and eyebrows. She claimed that they belonged to an influential family, which was why the police were reluctant to take action against them.
Upon being contacted, Investigation Officer Najeebullah rejected the allegations of the woman, adding that police took action promptly. He said the woman reported the matter to police on April 6 and they registered a case under sections 352, 354, 337-V-2,506 and 34 of the Pakistan Penal code (PPC).
Published in Dawn, April 10th, 2022
",https://www.dawn.com/news/1684237/torture-victim-seeks-justice-from-supreme-court-igp,islamabad,2022-04-10
5,Two drown in Indus River,TAXILA: Two friends drowned in Indus River near village Shadi Khan in the limits of Hazro Police station. Police...,"TAXILA: Two friends drowned in Indus River near village Shadi Khan in the limits of Hazro Police station. 
Police and Rescue 1122 sources said that Noman Khan, 20, and Kamran Zeeshan,18, went to the river for bathing during which Kamran lost balance and started drowning. 
Seeing his friend in trouble, Noman also jumped in the river in a bid to rescue him but both drowned. Later, Rescue 1122 divers retrieved their bodies and shifted them to Tehsil Headquarters Hospital for autopsy. 
Meanwhile, Attock police have arrested four suspected robbers and recovered looted items and arms utilised in various crimes. 
The district police officer Rana Shoaib Mehmood said the robbers was involved in various snatching at gun point and robberies in the city and densely populated areas. 
He said a team of city police led by SI Rana Kashif traced the culprits besides recovering half kilogram silver ornaments, cash and a number of mobile phones.
Published in Dawn, April 10th, 2022
",https://www.dawn.com/news/1684236/two-drown-in-indus-river,islamabad,2022-04-10
6,IHC deplores state functionaries for not addressing Baloch students’ grievances,Chief justice asks President Alvi to dispel impression of racial profiling.,"ISLAMABAD: The Islamabad High Court (IHC) deplored the conduct of the president and state functionaries for not addressing the legitimate concerns of Baloch students protesting in Islamabad against disappearance of their missing colleague.
IHC Chief Justice Athar Minallah asked President Dr Arif Alvi to dispel the impression of racial profiling of the Baloch students.He was hearing a petition filed by rights activist Imaan Zainab Hazir against harassment of the protesting students.
The students belonging to Balochistan and at present studying at the Quaide-i-Azam University (QAU) apprehended that they would be harassed and abducted if they visited their hometowns. 
The court observed: “The most alarming and disturbing aspect observed by the Court during the proceedings in hand has been the conduct of the public office holders and the lack of empathy on their part. The students have endeavored to be heard by the public functionaries but their conduct has remained indifferent.”

Chief justice asks President Alvi to dispel impression of racial profiling

The court noted that “There cannot be a graver grievance for a citizen to feel that he/she is being subjected to racial profiling or is not being treated equally. The court deprecates the conduct of the public office holders as has been observed during the proceedings.”
The court directed the secretary to the president to place a copy of the order before him. The grievance regarding racial profiling cannot and must not be tolerated. In case of students of Balochistan such a grievance becomes more profound.
“The Chancellor of the University i.e. worthy President of Pakistan is expected to take appropriate action, in consultation with the Chancellors of other Universities, so as to demonstrably dispel any apprehension regarding racial profiling of students belonging to the province of Balochistan,” it added.
“But what is most alarming is the response of the State and its public functionaries. The Minister of Interior had met them pursuant to the Court’s direction but the meeting appears to have been a mere formality,” the court order said, adding: “The Chancellor of the University i.e. the worthy President has not met them as yet.”
A deputy attorney general informed the court that the chancellor of the university - the president - had set a date to meet the students, but on account of unavoidable circumstances it could not be materialised.
He added that the president was given a briefing by the secretary, Ministry of Interior.
The court noted that the grievances raised by the students were not only intolerable but they manifested one of the most gravest forms of violations of the fundamental rights guaranteed under the Constitution.
The secretary Ministry of Interior was directed to reach out to the petitioners and the students of Balochistan at the QAU and take such actions as he may deem appropriate to ensure that concerns relating to security while visiting their hometowns are addressed.
The court directed the registrar office to send copies of the order to the secretary to the president and the secretary Ministry of Interior are direct them to submit their reports before the date fixed.
Further hearing in the matter was adjourned till April 15. 
Published in Dawn, April 10th, 2022
",https://www.dawn.com/news/1684235/ihc-deplores-state-functionaries-for-not-addressing-baloch-students-grievances,islamabad,2022-04-10
7,PM wants to make Pakistan an Islamic welfare state,ISLAMABAD: Prime Minister Imran Khan on Saturday said his objective was to make Pakistan an Islamic welfare state on...,"ISLAMABAD: Prime Minister Imran Khan on Saturday said his objective was to make Pakistan an Islamic welfare state on the model of Riyasat-i-Madina. 
Speaking at a fundraiser for Shaukat Khanum Hospital, Mr Khan said the best welfare states were the Scandinavian countries which were now prosperous and peaceful because of the policies for the benefit of humanity. 
He said cancer was a different disease due to two reasons: first, patient of cancer had the fear of death and second its treatment was expensive, adding that cancer had a long treatment and the patient had to undergo regular check-ups. 
Mr Khan said more hospitals were needed in Pakistan to treat patients of cancer. 
“About 40 years ago, I thought of establishing the cancer hospital and despite difficulties accomplished the task,” the prime minister said, adding that if cancer was detected early, the disease could be treated. 
He appreciated the nation for coming together to build and run Shaukat Khanum Hospital. 
He said Pakistanis were ahead of other nations when it came to giving charity. It was mandatory for the Muslims to give Zakat and the practice gave an opportunity to help poor people, he noted. 
He said Pakistani nation had given Rs63 billion as charity for treatment of cancer patients in the Shaukat Khanum Hospital. 
“We will fulfill our promise to the nation that 70pc of the patients in the hospital will be treated freely,” PM Khan said.
He said his government introduced health insurance and under the health insurance programme, family members could get treatment from any hospital, including in the private sector. 
Published in Dawn, April 10th, 2022
",https://www.dawn.com/news/1684234/pm-wants-to-make-pakistan-an-islamic-welfare-state,islamabad,2022-04-10
8,"Palm oil prices doubled due to pandemic, NA told","ISLAMABAD: The government on Saturday said due to Covid-19, prices of raw material for edible oil such as palm oil...","ISLAMABAD: The government on Saturday said due to Covid-19, prices of raw material for edible oil such as palm oil had more than doubled.
In response to a question from MNA Shazia Marri about factors that led to the increase in the prices of food essentials in particular and other commodities in general, the Ministry of Industries and Production said the price of raw palm oil had increased from $760 per tonne in January 2020 to $1,352 per tonne in January 2022.
As the ministry only dealt with two essential commodities - sugar and edible oil - prices of essential commodities rose due to the increase in raw material cost of sugarcane and palm oil.
Secondly, given the supply and demand situation, the prices of sugar increased manifold during the tenure of the incumbent government.
The government maintained that in recent years there was a drastic decrease in the production of sugar, and high prices of sugarcane were paid to farmers. Drawing a comparison, the ministry elaborated that during the crushing year 2017-18, 6.61 million metric tonnes sugar was produced while consumption stood at 5.20 metric tonnes. However, in 2020-21, 5.69 metric tonne sugar was produced while consumption increased to over 5.80 metric tonnes.
In response to another question from Ms Marri, the ministry said the government had been providing five essential commodities - flour, ghee, sugar, rice and pulses - on reduced or subsidised prices through utility stores since January 2020.
The reduced/subsidised prices of these basic commodities were implemented at utility stores across the country. After the subsidy, the price of non-subsidised 20kg bag of flour was reduced from Rs1,400 to Rs950. The price of non-subsidised sugar was reduced from Rs95 to Rs85 per kg at utility stores.
As price of ghee was reduced from Rs380 to Rs260, price of super banaspati rice was reduced from Rs150 to Rs140, tota basmati from Rs96 to Rs84 and sella rice was now available at Rs139 against Rs149.
Similarly, pulses such as Dal Channa price was reduced from Rs182 to Rs162, Dal Masoor from Rs235 to Rs215 and the price of white gram from Rs233 to Rs213.
The ministry claimed that since January 2020, 100.48 million households had been served.
Published in Dawn, April 10th, 2022
",https://www.dawn.com/news/1684233/palm-oil-prices-doubled-due-to-pandemic-na-told,islamabad,2022-04-10
9,WHO provides ambulances to AJK health dept,"The health dept has been given two ambulances, 10 motorcycle ambulances and other medical equipment.","MUZAFFARABAD: Dr Palitha Gunarathna Mahipala, the country head of the World Health Organisation (WHO) in Pakistan, on Saturday handed over two ambulances, 10 motorcycle ambulances and other medical equipment to the Azad Jammu and Kashmir (AJK) health department.
Appreciating the cooperation of the UN agency, Prime Minister Sardar Abdul Qayyum Niazi expressed the hope that the assistance would continue in future as well.
On the premier’s request, Mr Mahipala pledged to provide two more ambulances to the AJK government.
Earlier, Mr Mahipala also held a meeting with Mr Niazi during which both discussed various issues relating to mutual cooperation and wide-ranging reforms being introduced in the health sector of AJK.
Mr Niazi informed the WHO representative that reforms in the region’s health sector were his government’s top priority and all measures and legislation were being taken in this regard.
Published in Dawn, April 10th, 2022
",https://www.dawn.com/news/1684232/who-provides-ambulances-to-ajk-health-dept,islamabad,2022-04-10
