,Header,Summary,Detail,Link,Category,CreationDate
0,Petition of ex-ECP official against FIA probe into disputed appointments dismissed,SHC is told former Sindh election commissioner did not appear before IO...,"KARACHI: The Sindh High Court has dismissed a petition of a former provincial election commissioner filed against an inquiry initiated by the Federal Investigation Agency (FIA) about disputed appointments.
Former Sindh election commissioner Tanveer Zaki moved the SHC questioning a notice issued by an investigating officer (IO) of the FIA last month asking him to appear before him in term of a complaint made by the Election Commission of Pakistan (ECP) regarding disputed appointments made in the office of provincial election commission in Sindh in 2015.
The petitioner made the ministry of law & justice, chief election commissioner, ECP secretary, Sindh election commission and the IO of the FIA as respondents.
While referring to a ruling of the Supreme Court, the counsel for the petitioner argued that no proceedings of any kind could be undertaken against the petitioner after two years of retirement.

SHC is told former Sindh election commissioner did not appear before IO

He further submitted that the petitioner had retired in June 2017 and the impugned notice was issued on March 8, thus the inquiry was illegal and liable to be set aside.
However, a two-judge bench headed by Justice Mohammad Iqbal Kalhoro dismissed the petition for not being maintainable.
The bench in its order stated that when it asked the lawyer whether the petitioner appeared before the IO, he replied in the negative.
It observed that the judgement cited in the defence was an issue of interpretation of Section 21 of the Punjab Employees Efficiently, Discipline and Accountability Act 2006 proviso to which stipulated that departmental proceedings initiated against a retired employee must be finalised no later than two years of his retirement.
It further noted that the departmental and criminal proceedings were independent to each other and detached in terms of substance and consequences.
“The departmental proceedings afford an issue of making a determination regarding alleged misconduct of an employee while performing official duty while criminal proceedings deal with action or omission committed as such which is conceptualised or comprehended as an offence or a contravention punishable under some penal laws for the time being in force over the subject,” it added.
Therefore, the bench said that apparently the judgement of the apex court cited in defence was distinguishable and was not applicable to the case of petitioner for the relief he was seeking vide this petition.
“From what has been stated, no case for indulgence, discretionary in nature, has been made out, particularly, in view of petitioner’s recalcitrance to submit to the course of law enforced through impugned notice. This being the position, we find this petition not maintainable and dismiss it accordingly,” it concluded.
Published in Dawn, April 10th, 2022
",https://www.dawn.com/news/1684206/petition-of-ex-ecp-official-against-fia-probe-into-disputed-appointments-dismissed,karachi,2022-04-10
1,KMC names underpass after Qawwali maestro Amjad Sabri,"Flyover in North Nazimabad, urban forest in Clifton named after late Naimatullah Khan and educationist Dina Mistry...","KARACHI: The Karachi Metropolitan Corporation has named a flyover, an underpass and an urban forest after as many famous personalities who had rendered outstanding services in their respective fields.
Official said that the flyover at Sakhi Hassan Chowrangi was named after former Karachi nazim Naimatullah Khan in recognition of his services for the uplift and development of the city. 
Late Khan was elected as a member of the Sindh Assembly in 1985 and city Nazim in 2001.
The officials said that the Gharibabad underpass was named after renowned qawwal Amjad Farid Sabri, who was assassinated in a targeted attack in June 2016 in the metropolis. 

Flyover in North Nazimabad, urban forest in Clifton named after late Naimatullah Khan and educationist Dina Mistry

Sabri had started learning the art of Qawwali at the age of nine years and at the age of 12 he performed his art for the first time.
Likewise, the urban forest in Clifton was named after Dina Mistry. She was the principal of BVS Parsi High School and spent 60 years of her life educating the children of Karachi.
They said that the decision to name the three city’s infrastructural facilities was taken on the direction of Administrator Murtaza Wahab under Sections 85 and 86 of the Sindh Local Government Act, 2013 that allows him to name public places and routes within the limits of KMC after persons who have rendered valuable services to the country.
New DC-Malir complex
New Deputy Commissioner Malir Complex was opened on Saturday to facilitate the general public.
The new facility is situated on main Jinnah Avenue near Malir Halt.
Commissioner Iqbal Memon formally opened the complex constructed with an estimated cost of Rs354.162 million. Deputy Commissioner-Malir Irfan Salam Mirwani, Ghulam Sarwar Chachar and other district administration officers were also present on the occasion.
The commissioner said that DC-Malir Complex was constructed at a central location and people from all parts of the district could easily access it.
He added that a Peoples Facilitation Centre had also been set up in the complex for public convenience.
He said that soon DC-East Complex would also be inaugurated.
Published in Dawn, April 10th, 2022
",https://www.dawn.com/news/1684205/kmc-names-underpass-after-qawwali-maestro-amjad-sabri,karachi,2022-04-10
2,"Health dept says NICVD, SICVD two separate entities",KARACHI: The provincial health department has clarified that the National Institute of Cardiovascular Diseases...,"KARACHI: The provincial health department has clarified that the National Institute of Cardiovascular Diseases (NICVD) and the Sindh Institute of Cardiovascular Diseases (SICVD) “are two separate institutions” being run under two separate mandates.
In response to a news item published in this newspaper on April 6 under the caption “Sindh govt renames NICVD as SICVD”, it said in a press release that “no names of any institutes have been changed from one to another and both are run by their respective governing bodies”.
It said satellite centres (for cardiovascular diseases) and chest pain units of NICVD had been established by the Sindh government and these were handed over to SICVD, an institution established through an act, it added.
Published in Dawn, April 10th, 2022
",https://www.dawn.com/news/1684204/health-dept-says-nicvd-sicvd-two-separate-entities,karachi,2022-04-10
3,Rally held over botched sewerage works,SUKKUR: Activists of Sindh United Party and members of general public took out a procession on Saturday in protest...,"SUKKUR: Activists of Sindh United Party and members of general public took out a procession on Saturday in protest against a contractor who, they alleged, had destroyed water supply and drainage infrastructure during construction of streets and roads in Micro Colony and refused to carry out repairs, which had led to overflowing of gutters. 
The demonstrators raised vociferous slogans against the influential contractor and said he had left the drainage lines broken in the wake of roads’ construction which had inundated streets and caused sewage to enter into houses. 
The protesters’ leaders Eidan Jagirani, Manzoor Gadani, Saleem Raja and others said that drainage lines and water supply pipelines were being dislodged and at some points they were being broken to carry out construction of roads in the colony. 
They said that they did not oppose construction of streets and road but the contractor had spoiled the good work with his irresponsible and arrogant attitude. “When we ask him to repair the broken drainage lines and water supply lines, he threatens us with dire consequences and says he will get cases registered against us for hindering the constructional work,” said residents. 
The demonstrators said that unless drainage lines and water supply pipelines were repaired immediately, they would continue their protest.
Published in Dawn, April 10th, 2022
",https://www.dawn.com/news/1684203/rally-held-over-botched-sewerage-works,karachi,2022-04-10
4,Tribunal rejects PTI candidate’s plea for recount of PS-84 votes,HYDERABAD: The Election Tribunal headed by Justice Amjad Ali Sahito of Sindh High Court’s Hyderabad circuit on...,"HYDERABAD: The Election Tribunal headed by Justice Amjad Ali Sahito of Sindh High Court’s Hyderabad circuit on Saturday dismissed the election petition of Pakistan Tehreek-i-Insaf (PTI) candidate for PS-84 Mehar Sadaqat Ali Jatoi against his Pakistan Peoples Party (PPP) rival Fayyaz Butt, who had won the seat in the 2018 general elections.
The tribunal ruled that the petitioner failed to convince it on exercising its powers for a recount of votes.
It said that the allegations levelled by the petitioner appeared to be frivolous, vague and indefinite; and without adequate statements of material facts regarding truth for a recount. 
An order for recounting of votes is given when returning officer considers the request so made as not unreasonable but in the instant matter it is lacking reasons; the application for recount of votes was made after consolidation of result as the order dated July 28, 2018 passed by the returning officer (RO) reflects so, according to the ET ruling.
It ordered that the petitioner must specify allegations of tampering and manipulations etc in very clear terms along with necessary details and prima facie material supporting such allegations as secrecy of ballot should not be violated based on frivolous vague and unfounded allegations; and primary objective should be to do full justice in the matter.
Fayyaz Butt, now a provincial minister, was represented by Ishrat Ali Lohar advocate while Sadaqat Ali Jatoi was represented by Ghulam Sarwar Baloch advocate. 
Mr Jatoi had filed an election petition against the Aug 7, 2018 notification of the PS-84 Mehar results issued by the Provincial Election Commission declaring respondent Fayyaz Butt elected on the seat. 
The petitioner stated that he had obtained 41,091 votes whereas respondent Fayyaz Butt got 42,232 votes with a difference of 1,141 votes.
He stated in his petition that his rival candidate’s party was in government before announcement of elections and had great influence on the interim government.
He said that Dadu district administration and local government (LG) representatives including chairman of Dadu District Council, Mehar Municipal Committee etc all belonged to the PPP and, as such, posting of polling staff was not free from influence.
The polling staff were issued threats of stoppage of their salaries if they did not act in accordance with the instructions of taluka education officer (primary). Since most polling staff, especially presiding officers and assistant presiding officers, were from the education department, they were influenced by the respondent candidate, who wanted to get the results of his choice through rejection of the petitioner’s valid votes.
Mr Jatoi alleged that his polling agents at 42 polling stations were forced to leave by the polling staff. After receiving such information, he said, his chief agent had approached the returning officer concerned but no action was taken.
He said that even at the time of the vote counting process, his polling agents were not allowed to participate. Due to their absence and under influence of the respondent candidate, the polling staff favoured the respondent despite protest by the petitioner’s polling agents. The petitioner’s valid votes were either rejected or counted in favour the of the respondent, he added.
Mr Jatoi also alleged in his petition that in the provisional consolidated results as per the form-47, his obtained votes were shown as 43,252 while the respondent’s votes were put at 42,218 whereas rejected votes were 4,634. As such, the rejected votes were more than the margin between the two candidates’ votes.
He said that as per the RO’s note in the results, 1,226 votes of polling station No. 62, namely Govt Girls High School Betto, had not been included but unofficial results were announced. He pointed out that the RO was in such a haste that he put incorrect date of the issuance of form-47 (June 26, 2018) instead of July 26, 2018.
He alleged that presiding officers had committed grave irregularities and illegalities during counting of votes and without adopting proper procedure of law while issuing form-45 which were neither on prescribed form nor were they signed and stamped.
Mr Jatoi also stated that he had moved an application for recounting or verification of rejected votes which was allowed and the RO had called him and the respondent candidate. The election agents carried out rechecking and recounting of rejected votes polled at two polling stations and it was found that there were 20 to 25 rejected votes of the petitioner. Despite the petitioner’s request for inclusion of the same as valid, the RO did not accept the plea and extended favour to the respondent, he said.
Mr Jatoi’s counsel said his client’s petition was maintainable as all requisite provisions of the 2017 Act were complied with. He said the petitioner had secured 41,091 votes, excluding his 4,634 stray, spoiled or rejected votes. On being recounted, the number of his client’s votes would have increased to 45,725, i.e more than the respondent’s 42,232 votes, he argued. 
He contended that his client’s votes were rejected by way of rigging and with mala fide intention.
Fayyaz Butt’s counsel Ishrat Lohar rebutted the petitioner’s claims and allegations. He said that no illegality or irregularity was committed by his client. 
The entire polling process was conducted peacefully except in the petitioner’s home polling station where, according to the counsel, the petitioner and his supporters took over the polling station for rigging. An FIR to this effect was lodged and a re-poll was ordered by the Election Commission, he said.
Published in Dawn, April 10th, 2022
",https://www.dawn.com/news/1684202/tribunal-rejects-pti-candidates-plea-for-recount-of-ps-84-votes,karachi,2022-04-10
5,Four policemen injured as van overturns,DADU: Four policemen were injured when their mobile van overturned near Sann town along the Indus Highway in ...,"DADU: Four policemen were injured when their mobile van overturned near Sann town along the Indus Highway in Jamshoro district on Saturday.
The personnel were on patrolling duty, officials at the Sann police station said, adding that the accident took place as one of the speeding van’s tyres burst.
The injured policemen, ASI Ali Bux Chandio, constables Abdul Majeed Panhwar and Altaf Khoso; and driver Malook Hajano, were taken to the Manjhand Taluka Hospital, where they were admitted for treatment.
Their condition was stated to be serious.
Published in Dawn, April 10th, 2022
",https://www.dawn.com/news/1684201/four-policemen-injured-as-van-overturns,karachi,2022-04-10
6,Boy drowns in irrigation channel,SUKKUR: An eight-year-old boy downed in Noor Wah (irrigation channel) on the outskirts of Jacobabad on Saturday...,"SUKKUR: An eight-year-old boy downed in Noor Wah (irrigation channel) on the outskirts of Jacobabad on Saturday.
The boy, Saifullah, son of Shahi Khan Gorshani, had gone missing while playing near his family’s house. A search was mounted by his family and relatives and after many hours his body was found floating in the channel. 
The body was taken to the Jacobabad Civil Hospital before it was handed over to the heirs. 
Published in Dawn, April 10th, 2022
",https://www.dawn.com/news/1684200/boy-drowns-in-irrigation-channel,karachi,2022-04-10
7,Growers hold march against ‘embezzlement of de-silting funds’,DADU: Growers and members of political parties and civil society marched on foot for five kilometres along...,"DADU: Growers and members of political parties and civil society marched on foot for five kilometres along Dadu-Larkana Indus Highway and arrived at Alamdar Chowk in Khairpur Nathan Shah town on Saturday to protest against irrigation department’s failure to carry out de-silting of canals, embezzlement of funds and ‘artificial’ shortage of water in tail-end areas of K.N. Shah and Mehar talukas. 
The protesters led by Amjad Gadehi, Hafiz Hajan Leghari, Lal Bukhsh Shaikh, Shafiq Gadehi and Qatibuddin Buriro said that farmland in the tail-end of Rice Canal, Nara distributary, Kudan Wah, Khuda Wah, Abad Shakh, Kalro Shakh and Nara distributary faced the worst shortage of water, which was mostly artificial. 
Amjad Gadehi said that Rice Canal had been shut in the name of seasonal closure, which had caused the worst water crisis at the tail-end of Rice Canal, Nara distributary, Kudan Wah, Khuda Wah, Abad Shakh, Kalro Shakh, Nara distributary in K.N. Shah and Mehar in Dadu district. 
He said that modules and watercourses were broken at the head of the canal, which had already caused the worst crisis of water in Mehar and K.N. Shah talukas. 
Hafiz Hajan Leghari said that political personalities associated with Pakistan Peoples Party and Sindh government were stealing water at the head of the canal by tampering with modules in collusion with irrigation department’s officials, leading to shortage of water at the tail-end.  
He demanded that all tampered modules should be repaired and water regulation be carried out under Rangers personnel before releasing water into the Rice Canal after seasonal closure. 
He said that no one in the government was ready to stop theft of water at the head of Rice Canal and other waterways because the theft was mostly committed by influential PPP leaders and supporters. 
Lal Bakhsh Shaikh said that local economy depended completely on farming of the land and cultivation of crops and the water shortage in canals during paddy sowing had caused panic among small farmers. 
Shafiq Gadehi said that officials of the irrigation department had misappropriated millions of rupees by filing fake bills of de-silting of Rice Canal and other waterways because de-silting had not been carried out on ground. Heavy silt accumulating for years was a major obstruction to water reaching the till-end areas, he said. 
He said that people of Radhan, Thariri Mohabbat, Nau Goth, Shah Panjo, Mehar, K.N. Shah, Gozo, Kakar, Khanpur were facing the worst shortages of water and they did not even have a single drop of water available in the tail-end areas even for their animals. 
He demanded the Sindh government take serious notice of the situation and provide complete share of water to tail-end growers in K.N. Shah and Mehar talukas.
Published in Dawn, April 10th, 2022
",https://www.dawn.com/news/1684199/growers-hold-march-against-embezzlement-of-de-silting-funds,karachi,2022-04-10
8,Four brick kilns around school sealed,MIRPURKHAS: Four brick kilns functioning around a large school were sealed by authorities concerned over growing...,"MIRPURKHAS: Four brick kilns functioning around a large school were sealed by authorities concerned over growing public complaints on Saturday.
The kilns had been operating without proper official permission and had received several warning letters from deputy director of environment. 
The complaints filed with the deputy director said that the thick toxic smoke emanating from the brick kilns caused serious inconvenience to teachers and schoolchildren as well as nearby residents of villages.
Deputy director (environment) Sohaib Rajput the department had issued various warning notices to the kiln owners and directed them not to burn filthy garbage and plastic bags, which caused thick and toxic smoke, but they ignored the directives. 
On Saturday, Shujaabad taluka assistant commissioner Mohammad Saleem Shaikh along with deputy director Sohaib Rajput and other staff paid a visit to the brick kilns, including Hakim Ali bricks, Ghulam Shabbir bricks, Tarique Ali bricks and Mashooque bricks and ordered their owners to immediately close them. 
The team found filth thrown out by poultry farms at two brick kilns which was being used a fuel and led to increase in pollution. 
Shujaabad taluka assistant commissioner had directed owners of brick kilns to submit their environment management plan to government under the environmental law. He asked to stop immediately burning of substandard materials in the kilns to keep the atmosphere clean. 
Published in Dawn, April 10th, 2022
",https://www.dawn.com/news/1684198/four-brick-kilns-around-school-sealed,karachi,2022-04-10
9,MQM-P vows to make a comeback in next election,"Accuses PTI, its former coalition partner, of betrayal.","KARACHI: The Mutta­hida Qaumi Movement Pakistan (MQM-P) has organised a rally in support of the recent verdict of the apex court that restored the National Assembly and vowed to make a comeback in the next general elections.
A large number of MQM workers and supporters, including women and children, took out small rallies from different parts of the city and converged at the Ayesha Manzil traffic intersection in Federal B Area late on Saturday night. 
Chanting slogans and dancing to the tunes of party songs, the MQM-P worker were full of praise for the Supreme Court that had declared the ruling of the deputy speaker and subsequent dissolution of the National Assembly illegal.
The party said it had accepted the results of 2018 general elections despite the fact that its mandate was forcibly “snatched” and it waited for more than three years for justice with the people of urban Sindh.
Accusing its former coalition partner Pakistan Tehreek-i-Insaf of betrayal, the party leaders believed that the decision to part ways with the federal government proved that MQM-P took a right path, as otherwise it would have been counted among those who defied the Constitution. 
Speaking to the participants of the rally, MQM leader Amir Khan said that “all experiments” had failed and each one of them had proved that only MQM-P was the true representative of Karachi and its people.
“We tried to convince everyone but our argument was labelled as ethnic one,” he said. “It’s not the ethnicity. We are true representatives of Karachi and its people regardless of their ethnicity, language, religion, background or culture.”
“When we talk about urban Sindh it means every single person living in urban Sindh regardless of his /her ethnic origin. But it’s better late than never. The national political leadership has finally accepted this demand. They have realised that we [MQM-P] are right. And it’s all because of your [workers] patience and sacrifices,” he said.
He also questioned the Jamaat-i-Islami and Pak Sarzameen Party (PSP) for criticising MQM-P’s deal with the Pakistan Peoples Party (PPP).
He asked the leaders of the two parties as to why they were criticising the MQM-P when they already had made similar agreements with the same party that has been ruling the province for the past 14 years.
“I wonder how the Jamaat-i-Islami and PSP are criticising us for signing a pact with the PPP when they had already done the same,” said Mr Khan. “They had celebrated and offered prayers when the PPP had agreed to shake hands with them. Now they are criticising us.”
He said their criticism was only because they knew they would get no seats in the election if the MQM-P was given its due political space in the city.
Published in Dawn, April 10th, 2022
",https://www.dawn.com/news/1684212/mqm-p-vows-to-make-a-comeback-in-next-election,karachi,2022-04-10
