,Header,Summary,Detail,Link,Category,CreationDate
0,No halt to free treatment under Sehat Card Plus scheme in KP: dept,Officials insist some issues about initiative being sorted out.,"PESHAWAR: The Khyber Pakhtunkhwa health department has claimed that the people of the province continue to receive free treatment in the hospitals of Punjab, Sindh and Islamabad under the Sehat Card Plus programme.
The claim comes amid reports about the denial of free healthcare under the government scheme by Islamabad and Punjab hospitals.
The KP health officials told Dawn that there was no halt to free treatment under the Sehat Card Plus programme for the residents of the province anywhere in the country.
They, however, said there were some issues regarding the scheme and the relevant authorities were trying to sort them out.

Officials insist some issues about initiative being sorted out

The officials said Khyber Pakhtunkhwa had pioneered the Social Health Protection Initiative (SHPI) under which more than one million people had been given cashless diagnostic and treatment services in hospitals empanelled in all provinces.
They said the Sehat Sahulat Programme was launched by the federal and Punjab governments with the help of the KP health department but they had signed separate agreements with hospitals for it.
The officials said the hospitals empanelled for the scheme in the country totalled 700 and the entertained patients from Khyber Pakhtunkhwa, Punjab and Islamabad as the State Life Insurance Corporation implemented the initiative on behalf of the respective governments.
They said there were around 250 hospitals in Punjab with which the SHPI had signed agreements for the provision of free services to the population of Khyber Pakhtunkhwa.
The officials said over 50,000 patients from the province had so far received free services in Punjab hospitals, where the Khyber Pakhtunkhwa health department had hired its own staff to facilitate patients.
They said there were some issues between the SSP and Punjab and Islamabad hospitals due to some issues in contracts with the empanelled hospitals.
Officials said the federal and Punjab governments were trying to resolve their issues but the Khyber Pakhtunkhwa population continued to get free services as usual.
They said some hospitals weren’t getting ‘packages’ according to the agreements, so they were denying free treatment to patients, but the residents of Khyber Pakhtunkhwa continued to avail themselves of free healthcare in Lahore, Islamabad, Rawalpindi, Multan and other cities.
“We have 7.4 million families (entire population) of the province registered for free care under the SHPI. They are entitled to receive up to Rs1 million treatment in any registered hospitals of their choice on the production of their identity cards,” a health official told Dawn.
He said the Khyber Pakhtunkhwa residents went to Islamabad and Punjab’s health centres for free liver transplantation under the SHPI as the facility wasn’t available in the province.
The official said all seven liver transplants of Khyber Pakhtunkhwa’s patients under the SHPI had been done in Islamabad and Punjab’s hospitals.
He said hospitals in Sindh province also offered services to the KP residents registered under the Sehat Card Plus scheme.
The official said the people living in tribal districts were also eligible to receive free treatment under the scheme outside the province.
He said the government recently increased the free treatment ‘package’ from Rs700,000 to Rs1 million per family.
Published in Dawn, April 10th, 2022
",https://www.dawn.com/news/1684253/no-halt-to-free-treatment-under-sehat-card-plus-scheme-in-kp-dept,peshawar,2022-04-10
1,Suspension of gas supply to CNG stations protested,PESHAWAR: Owners and employees of CNG stations in Peshawar on Saturday staged a protest against the prolonged...,"PESHAWAR: Owners and employees of CNG stations in Peshawar on Saturday staged a protest against the prolonged suspension of gas supply.
Holding placards and banners, the protesters shouted slogans and demanded smooth gas supply to CNG stations. They asked for solution to the gas supply issues in accordance with the Article 58 of the constitution.
Addressing the protest rally, the All Pakistan CNG Association’s provincial president Fazal Muqeem said the government had announced to ensure gas supply to CNG stations round-the-clock, but it failed to fulfill its commitment.
He said gas supply was suspended for 18 hours without any announcement, troubling the consumers, adding supply was restored for a few hours in the evening.
He appealed to the federal government to reconsider its decision, ensure regular supply to CNG stations, saying permanent closure of filling stations would render employees jobless.
He also demanded of SNGPL to ensure uninterrupted supply to CNG stations, or the owners would move court and launch a protest campaign across the province.
The owners of CNG stations, Mr Muqeem said had no money to pay salaries of workers due to prolonged suspension of gas supply. He resolved to take all possible steps for restoration of gas supply to CNG stations.
“Under Article 158 of Constitution, SNGPL should first fulfill local requirement of the province and then supply surplus gas to other provinces,” Mr Muqeem argued, and said industrial and domestic consumers were also suffering in the prevailing situation.
He said the owners of restaurants/hotels had started using LPG but its price was also increased manifold due to increase in the value of dollar against the Pakistan rupee.
Mr Muqeem said it was astonishing that gas supply was also not available to domestic consumers and the people had started holding protest rallies across the province.
Published in Dawn, April 10th, 2022
",https://www.dawn.com/news/1684252/suspension-of-gas-supply-to-cng-stations-protested,peshawar,2022-04-10
2,Two policemen martyred in Bannu attack,LAKKI MARWAT: Two policemen were martyred when unknown miscreants attacked them in Janikhel area of Bannu on Friday...,"LAKKI MARWAT: Two policemen were martyred when unknown miscreants attacked them in Janikhel area of Bannu on Friday night.
An official identified the martyred cops as Farmanullah, who was posted at the city police station, and Latif Khan, deployed at Bakkakhel police station.
He said the deceased policemen belonged to Janikhel town, adding their bodies were shifted to the District Headquarters Hospital for fulfilling medico-legal formalities.
The bodies were then shifted to the police lines, where their funeral prayers were offered. 
Later, the martyred constables were laid to rest at the graveyards in their localities with official honour.
A contingent of police launched a search for the attackers, the official maintained.
Meanwhile, three people were killed over an old enmity in Qazi Dheri area of Lakki Marwat on Saturday.
Police said suspects -- Abdul Hakim, Abu Zahid and Nek Rehman -- attacked Tayyab Rehman and his colleagues when they were going home on a motorcycle.
They said Tayyab died on the spot, and his two colleagues -- Attaur Rehman and Bailan -- sustained injuries. They, however, succumbed to injuries while being taken to a hospital in Bannu. Shaheed Asmatullah Khan Khattak police station registered a case.
Separately, electronic goods worth millions of rupees turned into ashes when a fire broke out in three shops at a commercial centre in Bannu city on Friday night. A rescue official said firefighters immediately responded when the control room received a call.
A police contingent and municipal workers also rushed to the spot to augment fire extinguishing efforts.
Owners of shops said the fire broke out due to an electricity short-circuit, inflicting a loss of Rs30 million on them.
Published in Dawn, April 10th, 2022
",https://www.dawn.com/news/1684251/two-policemen-martyred-in-bannu-attack,peshawar,2022-04-10
3,Gunmen kill former Levies man in Bajaur,"BAJAUR: Unidentified gunmen killed a retired official of former Bajaur Levies Force in Mamond tehsil, local ...","BAJAUR: Unidentified gunmen killed a retired official of former Bajaur Levies Force in Mamond tehsil, local residents and police said on Saturday.
They said the incident occurred in Laghari Mena area on Friday evening.
According to the residents, Arzameen Khan, a retired subedar, was on way home from a bazaar when unidentified attackers opened fire on him. They said the 62-year-old man died on the spot.
The residents said the attackers managed to escape.
The cause of the attack could not be ascertained immediately.
However, the residents and family members said the victim had no enmity with anyone. A police official said they had launched investigation into the incident.
Published in Dawn, April 10th, 2022
",https://www.dawn.com/news/1684250/gunmen-kill-former-levies-man-in-bajaur,peshawar,2022-04-10
4,Police post attacked in Bara,"KHYBER: Unidentified attackers threw a grenade on a police post in Bara minutes before Iftar. However, no one was...","KHYBER: Unidentified attackers threw a grenade on a police post in Bara minutes before Iftar. 
However, no one was hurt in the attack.
Officials said that the attackers were riding a motorcycle and hurled a grenade at the police post adjacent to a market near the Bara Bazaar, when the policemen were preparing for breaking their fast.
They said that the policemen remained unhurt in the attack, adding the grenade caused partial damage to the checkpost’s bathroom.
The police registered a case against the unknown attackers.
Published in Dawn, April 10th, 2022
",https://www.dawn.com/news/1684249/police-post-attacked-in-bara,peshawar,2022-04-10
5,Industrialists asked not to employ children,"Haripur vigilance body seeks cooperation against child, bonded labour...","HARIPUR: The District Vigilance Committee (DVC) Haripur on Saturday asked the industrialists to respect the laws requiring them not to engage underage workers in the production process to help the government in its efforts to eradicate child and bonded labour.
District officer social welfare, Haripur, Sana Iqbal, who is a member of the DVC, expressed these views during an orientation session with the office-bearers of Hattar industrialists’ association. 
She said the DVC, which became functional recently, was supposed to identify the cases of child and bonded labour and trafficking-in-person while working in coordination with labour, police, prosecution and social welfare departments and human rights activists.
She said since hiring a child was unlawful under the international and national legal frameworks, the DVC would conduct both announced and unannounced visits to the industrial units to check any violations in this regard. 

Haripur vigilance body seeks cooperation against child, bonded labour

She asked the industrialists to submit a certificate to the deputy commissioner, who is chairman of District Vigilance Committee, committing that they won’t hire any worker below the age fixed under labour laws.
Speaking on the occasion, industrialists’ association chairman Malik Ashiq Awan said the industrialists had been asked to avoid employing children in their units. 
He assured the DVC of arranging orientation sessions with the owners and management of Hattar-based industries after Ramazan.
Assistant commissioner, Khanpur, Noorul Haq, officials of police, prosecution and labour departments were also in attendance.
Published in Dawn, April 10th, 2022
",https://www.dawn.com/news/1684248/industrialists-asked-not-to-employ-children,peshawar,2022-04-10
6,Private jirgas banned in Mansehra,Police chief orders crackdown on violators.,"MANSEHRA: The police department has banned the holding of private jirgas for settling criminal issues, including honour-related killings, out of court.
“Almost all private jirgas held by tribal elders help influential criminals get off scot-free in cases from honour killings to theft to land grabbing to car snatching to the misery of their victims,” district police officer Sajjad Khan told reporters here on Saturday.
The DPO said he had directed the deputy superintendents of police and SHOs to ensure that private jirgas don’t take place in the district and violators of the restriction are dealt with strictly.
He said the police had formed dispute resolution councils for out-of-the-court settlement of the people’s issues.

Police chief orders crackdown on ban violators

“Anyone can move these councils for justice without counsel. These are legal bodies formed through legislation and with members of a reputation for integrity,” he said.
KILLED: A man and his nephew were killed and two other people suffered critical injuries when two motorcycles collided head-on in Malkandia area of Kaghan valley on Friday night.
The accident left all four people riding both motorcycles.
The residents shifted them to the Balakot Civil Hospital, where the doctors pronounced Mohammad Rafique and his nephew, Mohammad Sameer, both residents of Jarad area, dead.
The others were referred to the Ayub Medical Complex, Abbottabad, due to critical injuries.
The Kaghan police registered an FIR and began investigation to ascertain the cause of the accident.
Meanwhile, Mansehra District Bar Association president Waqas Raza has hailed the Supreme Court’s verdict on the no-confidence issue and said the decision had buried the doctrine of necessity.
He told reporters here that the lawyers would continue with their struggle for the supremacy of Constitution and law in the country.
WATER ISSUE: Chairman-elect of the Mansehra tehsil council Sheikh Mohammad Shafee has said smooth supply of drinking water to the city and its suburbs is one of his top priorities.
“The people of our city have long been suffering from water shortage. I will ensure its early yet effective resolution,” he told reporters here on Saturday.
The council chairman also complained about the choking of sewerage lines in the inner city and under main arteries and said he had a comprehensive plan to address the issue.
He regretted that Rs200 million funds earmarked in 2016 by the then prime minister, Nawaz Sharif, to acquire land for a graveyard hadn’t been utilised yet.
“Immediately after taking oath of my office, I will ensure land acquisition for the cemetery as the existing graveyards have no space for the dead,” he said.
Published in Dawn, April 10th, 2022
",https://www.dawn.com/news/1684247/private-jirgas-banned-in-mansehra,peshawar,2022-04-10
7,No-trust move right of opposition: ANP,SWABI: Awami National Party leaders here have saidthat constitutional norms should be upheld to end the political...,"SWABI: Awami National Party leaders here have saidthat constitutional norms should be upheld to end the political crisis in the country. They said that removingPrime Minister Imran Khan through a vote of no-confidence was the democratic right of the opposition. 
In a meeting here the other day, they said that the April 3 ruling of the National Assembly deputy speaker on the no-confidence motion and the events afterwards showed that the spirit of patriotism and upholding constitutional principles were missing from the country’s politics. 
They hailed the Supreme Court verdict, saying it had changed the entire landscape of politics. 
ANP’s former provincial minister Awwal Sher Khan said that there would not have been any crisis in the country if the constitutional norms were upheld and the events not twisted. He said that the political parties should work practically for the country’s progress and welfare of its masses. 
Another leader Mukhtiar Khan said that the country was passing through a critical stage and the masses had been facing numerous problems that needed immediate attention. 
The districtoffice-bearerssaid that the PTI leaders’ sticking to the power had created the whole mess though they lost majority and had failed on all fronts. 
KILLED: Unidentified assailants killed a youth in Kotha village of Topi tehsil here on Saturday. 
When contacted, officials in Topi city police station said that Haider Khan, 17, wason wayhome when unknown assailants opened fire on him. As a result, he was killed on spot. His parents told police that they had no enmity with anyone.
Published in Dawn, April 10th, 2022
",https://www.dawn.com/news/1684246/no-trust-move-right-of-opposition-anp,peshawar,2022-04-10
8,Water shortage in Shangla as natural springs drying up,SHANGLA: Most of the natural springs in mountainous areas of Shangla have dried up due insufficient rains and...,"SHANGLA: Most of the natural springs in mountainous areas of Shangla have dried up due insufficient rains and snowfall this season, creating problem of drinking water shortage for the residents. 
Shangla district mostly consists of mountainous terrain and the local people depend on natural springs for water for drinking and domestic purposes. Insufficient snowfall in winter and a long delay in rains have been cited as reasons for drying up of the springs. 
Jan Alam, a resident of Bishm Landai Jai, said there was one water spring which served 25 houses in the area. 
He said that water quantity in the spring had decreased significantly and members of each household had to wait for over 10 days for their turn to get water. 
He said they had not alternative source of water, but to buy it or bring it from the Indus River. 
Nisar Ahmad, a resident of Dunai, Karora, said that they had been facing water shortage as the springs in the area had dried up. 
He said the situation had forced them to bring water from the river a few kilometres away though it was not fit for drinking. 
He said there were no water supply schemes of the public health department in the area and their only source of drinking water was natural springs. 
Mian Bacha, a resident of Mian Kallay, claimed that eight of the 12 natural springs in the village had dried up. 
The residents have demanded of the government to take immediate steps for resolving the water shortage issue in the district. 
WILDFIRE: Wildfire erupted in the mountains of Alpuri near Hafiz-i-Alpuri’s shrine here on Saturday. However, the blaze was extinguished by the Rescue 1122 team after hours of hectic efforts. 
Rescue 1122 spokesperson Rasool Khan said that after receiving call from a citizen, they acted immediately and brought the fire under control.
Published in Dawn, April 10th, 2022
",https://www.dawn.com/news/1684245/water-shortage-in-shangla-as-natural-springs-drying-up,peshawar,2022-04-10
9,"Widow of civil judge seeks Shuhada Package compensation, govt job",Moves PHC after death of husband due to Covid.,"PESHAWAR: The widow of a senior civil judge, who had died of coronavirus last year, has moved the Peshawar High Court seeking orders for the government to give her compensation under the Shuhada Package and a job.
Fatima Kiyani, widow of senior civil judge Seemab Waheed Siddique, has filed a petition with the high court for the grant of the Shuhada Package to her family saying her husband had lost his life in the line of duty while serving in Buner district.
The petition is filed through senior lawyer Mian Muhibullah Kakakhel.
The petitioner contended that like medical workers, judicial officers risked their lives to serve the people amid the raging coronavirus pandemic.
She said that when health professionals had been provided with the Shuhada Package compensation, then why it should be denied to the judicial officers, who had selflessly performed during the pandemic.

Moves PHC after death of husband due to Covid

The petitioner pleaded that the deceased senior civil judge was infected while on duty in Buner, whereas he belonged to Peshawar and thereafter lost his life in July 2021.
She said that the chief justice had earlier announced that the Shuhada Package would be provided to the families of the judges, who would die of Covid-19 in the line of duty.
Ms Fatima, however, said that the finance department didn’t grant her that package.
She complained that she, too, was a lawyer and was denied service in the pay scale of her husband or in accordance with her educational qualifications under the government’s spouse policy.
The petitioner said that her husband’s death had left her and her two minor children to the mercy of the Almighty Allah.
She said that the Shuhada Package compensation was the only ray of hope for her and her children since it included support for education and healthcare along with salary and accommodation, which the government owed to the deceased and his family since her husband had lost life serving the people.
The petitioner requested the court to order the provincial government to give the Shuhada Package to her and her family and employment in the pay scale of her husband or in line with her education.
BAIL REJECTED: An additional district and sessions judge has rejected the bail petition of a a man arrested on the charge of smuggling crystal meth (ice drug) in a rickshaw.
Judge Mohammad Tayyab ruled that the petitioner, Roohul Ameen, a resident of Nowshera, didn’t deserve to be set free on bail.
The suspect was arrested a few days ago while driving a rickshaw in the jurisdiction of the Badabher police station.
The police had claimed they had recovered one kilogramme of crystal meth from secret cavities of the rickshaw. The driver was booked under the Khyber Pakhtunkhwa Control of Narcotics Substance Act.
The state prosecutor contended that the rickshaw driver was caught red-handed while smuggling contraband, which was a heinous offence, so he was not entitled to the concession of bail under the law.
Published in Dawn, April 10th, 2022
",https://www.dawn.com/news/1684244/widow-of-civil-judge-seeks-shuhada-package-compensation-govt-job,peshawar,2022-04-10
